AppleLocationVisitKey,ParticipantIdentifier,ArrivalTime,DepartureTime,Latitude,Longitude,HorizontalAccuracy,InsertedDate
e1ae54af-c024-ed11-aabf-0afb9334277d,5408f8eb-b5f6-4334-a9af-f0244b3f4432,2022-08-25T17:53:18-04:00,,43.141563123012894,-80.26544491669209,48.000000000000007,2022-08-25T21:55:58Z
1913ce77-5626-ed11-aabf-0afb9334277d,5408f8eb-b5f6-4334-a9af-f0244b3f4432,2022-08-27T17:59:30-04:00,,43.64459997973217,-79.386668502408369,75.941374928558034,2022-08-27T22:20:40Z
724f00c0-d926-ed11-aabf-0afb9334277d,d39e1b95-ab17-4d80-a25f-10ab76736632,2022-08-28T08:36:47-04:00,2022-08-28T09:55:56-04:00,43.586988397087936,-79.644404461783296,81.42214611008049,2022-08-28T14:00:29Z
b0a5729e-a32e-ed11-aabf-0afb9334277d,d39e1b95-ab17-4d80-a25f-10ab76736632,2022-09-05T03:14:31-04:00,2022-09-07T07:35:08-04:00,43.583496748685256,-79.627043117357815,20.293814754591583,2022-09-07T11:53:02Z
28f73eef-ab2e-ed11-aabf-0afb9334277d,d39e1b95-ab17-4d80-a25f-10ab76736632,2022-09-07T08:37:10-04:00,,43.66876737261812,-79.398760480317534,76.347589407186447,2022-09-07T12:52:40Z
47a4e35e-1b1b-ed11-aabd-0afb9334277d,2b10f0e0-ef05-41a6-99cb-a543d0e6cb4e,2022-08-12T15:06:10-04:00,2022-08-13T11:16:05-04:00,43.709734521089047,-79.274494501526235,11.810051647284471,2022-08-13T15:19:59Z
b50e07a0-0123-ed11-aabf-0afb9334277d,2b10f0e0-ef05-41a6-99cb-a543d0e6cb4e,2022-08-23T12:28:51-04:00,,43.642783883988443,-79.466780174637378,202.33333333333334,2022-08-23T16:35:42Z
9634cd2a-1226-ed11-aabf-0afb9334277d,2b10f0e0-ef05-41a6-99cb-a543d0e6cb4e,2022-08-26T15:55:11-04:00,2022-08-27T10:02:15-04:00,43.709742405480959,-79.274493378459027,10.614205947039489,2022-08-27T14:11:40Z
8e74db91-7925-ed11-aabf-0afb9334277d,2b10f0e0-ef05-41a6-99cb-a543d0e6cb4e,2022-08-26T15:55:11-04:00,,43.709477421323896,-79.274378717897719,35,2022-08-26T19:59:21Z
fea5a902-7525-ed11-aabf-0afb9334277d,2b10f0e0-ef05-41a6-99cb-a543d0e6cb4e,2022-08-26T15:11:23-04:00,,43.660519396564666,-79.328260794095954,69.870980493470285,2022-08-26T19:26:44Z
74747718-7325-ed11-aabf-0afb9334277d,2b10f0e0-ef05-41a6-99cb-a543d0e6cb4e,2022-08-26T14:57:15-04:00,2022-08-26T15:10:48-04:00,43.657818841369746,-79.330017693239341,67.965747262945712,2022-08-26T19:13:06Z
eea7fa16-7225-ed11-aabf-0afb9334277d,2b10f0e0-ef05-41a6-99cb-a543d0e6cb4e,2022-08-26T14:57:15-04:00,,43.657904977737957,-79.330050462944897,40,2022-08-26T19:05:55Z
bc2ac6cf-6d25-ed11-aabf-0afb9334277d,2b10f0e0-ef05-41a6-99cb-a543d0e6cb4e,2022-08-24T23:52:35-04:00,2022-08-26T14:33:23-04:00,43.709754037974228,-79.274512565849889,9.1250104256640423,2022-08-26T18:35:10Z
aecd4186-2224-ed11-aabf-0afb9334277d,2b10f0e0-ef05-41a6-99cb-a543d0e6cb4e,2022-08-24T20:35:45-04:00,2022-08-24T22:54:31-04:00,43.629539090688148,-79.41509732240074,100.17711926251297,2022-08-25T03:03:48Z
b30ac693-0e24-ed11-aabf-0afb9334277d,2b10f0e0-ef05-41a6-99cb-a543d0e6cb4e,2022-08-24T20:35:45-04:00,,43.630481909159222,-79.415315862864958,95,2022-08-25T00:41:04Z
e7a356ce-0d24-ed11-aabf-0afb9334277d,2b10f0e0-ef05-41a6-99cb-a543d0e6cb4e,2022-08-24T20:23:12-04:00,2022-08-24T20:31:09-04:00,43.633346331712509,-79.416674750543379,63,2022-08-25T00:35:33Z
