,ParticipantIdentifier,ActualDueDate,Task_Trailmaking_Time,Task_Trailmaking_Errors,Task_Stroop_TotalCorrectProp,Task_Stroop_CongruentCorrectProp,Task_Stroop_IncongruentCorrectProp,Task_Stroop_TotalAvgRT,Task_Stroop_CongruentAvgRT,Task_Stroop_IncongruentAvgRT,Task_PSAT_Accuracy,Task_PSAT_AvgTime,Task_Hanoi_Solved,Task_Hanoi_Time,Task_Hanoi_Moves,Task_RT_Mean,Task_RT_SD,Task_SSMemory_Score
0,01801252-3a7e-4f5f-8b6d-49e8da3902f3,2021-02-10,20.912328958511353,0,1.0,1.0,1.0,1.048919170803856,0.9368481427663937,1.1092651089778742,,,,,,,,
1,01801252-3a7e-4f5f-8b6d-49e8da3902f3,2021-02-11,13.235350012779236,0,1.0,1.0,1.0,0.8417259125271812,0.8320551166776567,0.8513967083767057,,,,,,,,
2,d26d4b78-7fcf-488e-b687-2d1c93c47b74,2021-02-11,14.035487055778503,0,1.0,1.0,1.0,0.8103946541667938,0.7132054940478026,1.0371693611111066,,,,,,,,
3,01801252-3a7e-4f5f-8b6d-49e8da3902f3,2021-02-13,20.87090504169464,0,1.0,1.0,1.0,1.0576792041247245,0.9201457499505274,1.2257756481154098,,,,,,,,
4,01801252-3a7e-4f5f-8b6d-49e8da3902f3,2021-02-13,24.056751012802124,1,1.0,1.0,1.0,1.0576792041247245,0.9201457499505274,1.2257756481154098,,,,,,,,
5,d26d4b78-7fcf-488e-b687-2d1c93c47b74,2021-02-13,10.140618920326233,0,1.0,1.0,1.0,0.8133652541597257,0.7993209940406294,0.8461351944376171,,,,,,,,
6,d26d4b78-7fcf-488e-b687-2d1c93c47b74,2021-02-15,7.34313702583313,0,1.0,1.0,1.0,0.9946531229128596,0.8603566124947974,1.1289496333309217,,,,,,,,
7,01801252-3a7e-4f5f-8b6d-49e8da3902f3,2021-02-15,17.09958505630493,1,1.0,1.0,1.0,0.9425879666465334,0.9096413959050551,0.9645523471408524,,,,,,,,
8,d26d4b78-7fcf-488e-b687-2d1c93c47b74,2021-02-15,9.474886059761047,0,1.0,1.0,1.0,0.9946531229128596,0.8603566124947974,1.1289496333309217,,,,,,,,
9,01801252-3a7e-4f5f-8b6d-49e8da3902f3,2021-02-16,11.805623054504395,0,1.0,1.0,1.0,0.94775047916919,0.9228238125021259,0.985140479169786,,,,,,,,
10,d26d4b78-7fcf-488e-b687-2d1c93c47b74,2021-02-16,12.291826963424683,0,1.0,1.0,1.0,0.8670061708369758,0.733504208328668,0.9560074791758476,,,,,,,,
11,01801252-3a7e-4f5f-8b6d-49e8da3902f3,2021-02-17,15.486305952072144,1,1.0,1.0,1.0,1.0526029250351712,0.8953127833548933,1.209893066715449,,,,,,,,
12,d26d4b78-7fcf-488e-b687-2d1c93c47b74,2021-02-18,11.052711963653564,0,1.0,1.0,1.0,0.8970172916946467,0.868094850028865,0.9259397333604283,,,,,,,,
13,01801252-3a7e-4f5f-8b6d-49e8da3902f3,2021-02-18,18.55392611026764,0,1.0,1.0,1.0,1.141374912520405,1.124990513897501,1.1483967976445066,,,,,,,,
14,01801252-3a7e-4f5f-8b6d-49e8da3902f3,2021-02-19,19.51286506652832,0,1.0,1.0,1.0,0.746577562589664,0.5477279792830814,0.8791439514607191,,,,,,,,
15,01801252-3a7e-4f5f-8b6d-49e8da3902f3,2021-02-20,14.480974078178406,0,1.0,1.0,1.0,0.8898408291395754,0.8906856041576248,0.8892776457942091,,,,,,,,
16,01801252-3a7e-4f5f-8b6d-49e8da3902f3,2021-02-22,25.920318007469177,0,0.95,1.0,0.9,1.010578770848224,0.9750923708197661,1.0460651708766817,,,,,,,,
17,d26d4b78-7fcf-488e-b687-2d1c93c47b74,2021-02-22,7.015305995941162,0,1.0,1.0,1.0,0.8132700666581514,0.7447869479110523,0.8589254791562174,,,,,,,,
18,01801252-3a7e-4f5f-8b6d-49e8da3902f3,2021-02-22,13.877014994621277,0,0.95,1.0,0.9,1.010578770848224,0.9750923708197661,1.0460651708766817,,,,,,,,
19,01801252-3a7e-4f5f-8b6d-49e8da3902f3,2021-02-23,13.06220006942749,0,1.0,1.0,1.0,0.8595976209267974,0.8529797251801938,0.866215516673401,,,,,,,,
20,d26d4b78-7fcf-488e-b687-2d1c93c47b74,2021-02-23,11.604763984680176,1,0.9,1.0,0.6666666666666666,0.9908750666683772,0.8894066488137469,1.2276347083291814,,,,,,,,
21,01801252-3a7e-4f5f-8b6d-49e8da3902f3,2021-02-24,12.870991945266724,0,1.0,1.0,1.0,0.852359808399342,0.714034283393994,0.99068533340469,,,,,,,,
22,01801252-3a7e-4f5f-8b6d-49e8da3902f3,2021-02-25,11.037467956542969,0,1.0,1.0,1.0,0.8608581915381365,0.8255314443376847,0.9138483123388141,,,,,,,,
23,531d7f6d-b880-4a0b-b467-80005a316f1c,2021-02-25,20.697675943374634,0,1.0,1.0,1.0,1.4884912125009577,1.6275575083331204,1.349424916668795,,,,,,,,
24,531d7f6d-b880-4a0b-b467-80005a316f1c,2021-02-26,18.34790003299713,0,1.0,1.0,1.0,1.2519885666581103,1.1542845416581258,1.3496925916580949,,,,,,,,
25,01801252-3a7e-4f5f-8b6d-49e8da3902f3,2021-02-27,12.021490931510925,0,1.0,1.0,1.0,0.8181399374992907,0.8012208750005811,0.8294193124984304,,,,,,,,
26,531d7f6d-b880-4a0b-b467-80005a316f1c,2021-02-27,11.785431027412415,0,1.0,1.0,1.0,1.0407504999951924,1.0585085312486626,1.028911812492879,,,,,,,,
27,01801252-3a7e-4f5f-8b6d-49e8da3902f3,2021-02-28,14.305423974990845,1,1.0,1.0,1.0,1.045955516667891,1.0168025763911526,1.089684927082999,,,,,,,,
